"Method","tau","seed","n_boot","intercept","Black","Asian","Hispanic","visit.10","visit6.10","diabete","hypertension","cigarette","age..19","age..35","WIC","unmarried","college","some.college"
"i-Rock",0.01,10,5000,1087.75863812156,-255.56561381108,-130.52316583225,-36.6765938531796,837.77878373481,330.889019957901,-12.0451797335798,-407.35080645161,-123.49224212279,15.4245463856102,-116.3277576532,34.10438938811,-67.6660047928698,82.8129044697105,-5.66099163679985
"i-Rock",0.01,11,5000,1088.0674629343,-252.273930428575,-177.246081664293,-45.8341296009695,854.848543313498,354.70246668109,-2.91278675824997,-433.420585002367,-72.4493395811275,40.2652521543332,-103.94484142801,27.1506553869774,-82.0667038089401,64.8889388071523,-20.2178244254751
"i-Rock",0.01,12,5000,1097.26092928184,-270.260582397509,-151.267778685346,-42.9783675072487,846.254904462018,343.85835042678,1.77894174208727,-436.371224650109,-108.012874223329,-10.2256965282616,-121.889704631736,31.7519449414839,-76.9901985796675,73.6025942921339,-17.6557721504948
"i-Rock",0.01,13,5000,1089.01550387596,-249.177998953809,-151.58640200859,-40.1965152289516,842.122443398259,338.343930870747,11.0395972115617,-418.353959801734,-94.4277513507201,23.93784029039,-106.163250631817,29.8523040764972,-73.5041715888211,76.6669977807272,-11.1414141414197
"i-Rock",0.01,14,5000,1081.27402526462,-281.945540950535,-161.618267891725,-42.3494711880952,850.249004531865,349.63415544356,-21.8837066782852,-426.714466510245,-82.162926169545,-4.62500000000016,-112.33075983196,22.9893675611548,-59.3990252646203,84.6678336624146,-7.93458530637504
"i-Rock",0.01,15,5000,1063.32400597827,-237.732275052984,-191.077744163993,-30.7365802608835,866.886121206834,365.115305317767,-16.7818040318231,-422.143987668294,-113.521756218584,33.7343283582099,-122.295323627747,25.3751210969666,-69.2121804903335,80.9950914165131,-9.43577543192993
"i-Rock",0.01,16,5000,1083.87116020371,-259.542352642913,-159.553437213479,-45.9675546400634,858.661300938557,359.976411907128,-24.4156299428854,-417.384805303052,-96.2807176101732,27.4120233159865,-112.528468858355,27.1573086546436,-83.1443463043891,65.7775151050058,-8.88425925925894
"i-Rock",0.01,17,5000,1084.19642857143,-252.196428571426,-193.48214285714,-41.5288387247598,850.3779607698,351.14543388808,-16.1553010601899,-426.900142488199,-99.5686142441024,-4.96424948107576,-103.94484142801,30.2871187534539,-75.6829728993137,73.2305557137238,-4.99010706807633
"i-Rock",0.01,18,5000,1062.69592107752,-267.78211827913,-138.500407160161,-39.1369778565501,867.630753245807,359.210376427007,-21.4396964667793,-414.29121262413,-63.2770430936737,14.4869049627642,-108.73992671442,31.4857652324197,-70.9791815170693,82.2733560180304,-3.09628018212984
"i-Rock",0.01,19,5000,1095.19381476948,-258.041519690695,-151.525017776997,-45.9318241339742,841.180659206158,336.900336500169,-31.5553404829855,-429.686007460508,-93.622386198046,37.2023825066538,-118.408143809137,24.2847133337172,-70.6095238095202,72.3668739678607,-5.81913349264819
"i-Rock",0.01,1,5000,1076.08373464126,-273.049159663868,-160.235630733345,-36.4089531649075,861.845425022604,355.427310924372,-31.7702064989607,-410.784453781515,-138.58369565217,12.165126050422,-107.854541396422,30.8420483992237,-73.0182200152815,67.465425022604,-11.2841298981841
"i-Rock",0.01,20,5000,1072.51519797543,-272.306490628852,-200.698531840089,-41.1833074811092,864.797516801199,365.663857033964,-29.3653654406929,-446.519131110993,-138.198698774023,16.5359581451721,-118.640858707086,17.9682943265421,-61.6282182249443,80.537425437535,-8.17283086161625
"i-Rock",0.01,2,5000,1074.22366635204,-258.284323133005,-175.08351648352,-38.9420228893906,849.86967079327,350.915635135948,-1.0370551470224,-417.952644504618,-85.7701316227605,45.7149118825975,-107.744634093977,24.0130323623772,-64.1076664563547,83.711607909642,-2.36173541370784
"i-Rock",0.01,3,5000,1079.09288722248,-268.41793020754,-162.319433012791,-44.7902098766444,855.048030659157,349.268751225598,-1.84458555600573,-408.142148306216,-86.6152098025348,31.0259435044229,-111.219699326626,27.7498306895149,-70.4085334809765,78.6191606321226,-9.54220543528347
"i-Rock",0.01,4,5000,1069.28372146373,-265.7606060606,-145.441223591223,-42.3412235912233,863.19183970856,355.277412021137,-2.66108174725345,-410.282380823217,-77.0118397085603,12.443328719602,-104.986672283397,32.0831039331034,-73.2637214637263,75.329383882663,1.63232908560632
"i-Rock",0.01,5,5000,1071.51348020652,-268.17574536664,-198.657122105111,-44.7108864451696,850.703113876551,355.86740688477,-7.73021120523009,-431.508561429479,-128.357110212311,16.2078829318501,-119.023776878978,44.0574097135701,-72.8617387179,96.4291100799102,-0.484992351469746
"i-Rock",0.01,6,5000,1074.39211657149,-261.537200824382,-150.641301667372,-35.399347076851,855.533338101339,355.778238361188,-5.28982803532986,-421.540648744219,-86.0564947020001,-18.8213596346073,-108.897791601359,27.525364999299,-65.4750132205203,76.1424457102701,-5.66099163679974
"i-Rock",0.01,7,5000,1079.74269674039,-261.25220002731,-167.632033451499,-41.7820512820499,856.79375516956,349.54237096748,-10.2641432271199,-431.44427805062,-118.5986064243,27.5241935483901,-114.41620787518,25.2501247629501,-69.8107702212901,81.7398595921702,-11.9377394636
"i-Rock",0.01,8,5000,1082.71909317678,-277.293883986938,-157.55574494949,-44.393883986938,846.297626796131,345.081790661602,3.69425505051004,-410.39276568502,-109.091396079698,-12.4620854340903,-105.75971223022,30.5048611111099,-62.8679848668601,78.2045179343314,-13.7959694210286
"i-Rock",0.01,9,5000,1090.69670985687,-261.580504056959,-176.58050405696,-46.3746717633245,844.819752951237,343.887978142077,17.4362067118103,-418.504183941985,-179.74908250147,-10.8198102672405,-112.995395002564,45.8752371833342,-72.4031503731186,73.7854698202855,-17.8679815209702
"i-Rock",0.025,10,5000,1353.12267962092,-259.335600264614,-162.001355482784,-39.022124872195,889.550880065499,424.491958656515,-34.3925134052399,-441.900554748725,-166.51122638585,-10.4068920940701,-115.779690798395,18.6175458064801,-77.8434118915849,75.9546203527199,-4.89526569881994
"i-Rock",0.025,11,5000,1343.22637083853,-255.70555602372,-190.97726140397,-43.4925113410847,905.525382527295,441.386078014315,-29.0258267566653,-460.88758806468,-125.781979653655,14.5020057215948,-100.47546954388,14.6511451848954,-81.7275160234249,69.8764266733153,-13.4313825272949
"i-Rock",0.025,12,5000,1357.38078544192,-274.168280095318,-173.63064309333,-39.4990234291071,888.821540701952,430.395019523423,-30.8027581071311,-466.39719913322,-139.696762778406,-19.0995127299218,-111.862805109578,19.0091931071814,-76.8755446076355,72.425853895266,-8.03597464341943
"i-Rock",0.025,13,5000,1343.29907092953,-251.2347877807,-187.46298686491,-40.4732372405698,901.04960410534,438.35299640871,-22.68391178389,-458.112163431001,-157.27290483453,7.52643803626021,-102.27324501914,19.0542235158497,-81.7952059354904,70.76523046521,-5.51101269720995
"i-Rock",0.025,14,5000,1348.99301680922,-277.60986819859,-177.67768142659,-40.6942803428799,888.754846438639,426.94095984795,-29.5305514158,-453.699756003521,-142.872072539409,-21.3082909968898,-103.879280468,14.97867515954,-65.0778701233105,80.8803167912799,-6.1697410810199
"i-Rock",0.025,15,5000,1337.08431903133,-246.29669298835,-200.4947578791,-36.0255790204748,905.061124171675,440.921819658696,-35.4079107505102,-458.17784482081,-146.76344086021,-21.543993376405,-110.14255070316,16.9037439175251,-72.1713422997204,76.4827368361343,-11.3219627700353
"i-Rock",0.025,16,5000,1338.07112213173,-257.95583595687,-185.528673948819,-40.4826583891352,914.142750130236,452.039059926541,-45.1307560903202,-448.679120929925,-137.772347773376,7.80049783504025,-110.142550703159,15.1860022951952,-86.6469251939847,66.4143077771744,-7.91069706798034
"i-Rock",0.025,17,5000,1345.72984438556,-265.71870770781,-194.073569738479,-47.5364090030852,898.618830649315,439.53755906299,-32.0079351309157,-448.36454805074,-166.478360981105,-29.5463868301351,-103.297260401265,19.0542235158498,-70.6695198506649,69.2214720776153,-4.32139368132516
"i-Rock",0.025,18,5000,1333.79984047503,-268.56110128192,-170.041329415085,-39.5289345063548,905.89367067332,438.268776571005,-42.6042787810199,-444.87878787879,-126.513782991204,-11.33663235698,-104.284963831605,18.5478132907452,-73.5154202357701,78.9346688907903,-0.855848810689599
"i-Rock",0.025,19,5000,1350.26507386812,-259.899311128403,-183.242918571013,-43.0456800391399,897.064713127576,433.439286692173,-50.0401089750825,-458.619528590783,-150.283094260207,7.30307970434025,-118.332831728737,14.4219831490967,-79.6111065920438,71.2983930434434,-2.26259265561334
"i-Rock",0.025,1,5000,1335.87826086957,-264.432381367998,-190.36492984012,-32.292164919758,908.145117923017,441.274977306045,-30.7696754112897,-456.917083803598,-135.600767599011,-22.6855009186879,-105.658111995139,20.7668794759781,-78.9177654799575,70.6147004091244,-7.67151238028943
"i-Rock",0.025,20,5000,1332.2335296441,-268.09452050509,-200.56024525653,-37.3049582155297,913.14157854724,450.04466433038,-36.5080808080798,-469.414489027931,-142.46350863578,-4.87311169593019,-113.25444008217,11.4487179487194,-74.32189822756,73.2530718477996,-2.82385800103955
"i-Rock",0.025,2,5000,1347.02437118669,-264.154930575421,-192.54059966409,-40.4297713829601,892.180952380951,430.657556524151,-20.6017412674296,-453.41624700034,-142.65799992065,14.2913547140197,-107.52664204698,17.4306176643597,-71.9442973292791,76.8069478153206,-2.65998413716988
"i-Rock",0.025,3,5000,1337.65205361193,-262.12715328467,-188.867688095109,-42.0891085727153,903.198440041095,435.549892029207,-20.4632475512462,-445.615239262809,-122.728711376455,9.52632069609498,-108.881470862398,14.1549590253006,-74.0646200897553,78.9755876243949,-5.28573426468606
"i-Rock",0.025,4,5000,1341.7921140156,-260.760029200639,-184.44677763739,-43.0456800391398,902.25200705744,435.889813695241,-23.3453363782089,-449.13413693587,-141.623068441459,-8.62508099674081,-104.95902215522,18.1050405533101,-76.4820068451903,74.5840589661003,-2.65998413716965
"i-Rock",0.025,5,5000,1339.80655604472,-269.900771734555,-200.007309705985,-43.1390049464497,899.046818016909,438.961451884594,-31.1161592635053,-449.388384891955,-172.412273825033,-17.9211967472912,-118.666541969286,22.5845964790878,-73.1019958972964,84.062437048483,-3.74606435564285
"i-Rock",0.025,6,5000,1335.87826086957,-254.391364633318,-164.826333126094,-34.0659636862234,902.936004536246,440.651620342424,-19.3074970148784,-447.23811107416,-123.468003635223,-26.9860472575599,-105.993732853329,18.847407539785,-76.8117896613882,74.4230561704614,-3.76524133997497
"i-Rock",0.025,7,5000,1338.57477080636,-255.899395393815,-184.019958681065,-39.6913875598103,903.104843106485,438.08667093273,-25.9419775164012,-451.338672131366,-150.43477498917,3.75631358961972,-106.266941686944,19.0914036096845,-77.0859275024645,76.9485661262951,-6.16540370421959
"i-Rock",0.025,8,5000,1353.675,-277.89381193332,-171.709601407,-40.3272955947396,886.58267320111,424.006927710841,-29.2223263038397,-453.18367723074,-145.20201356394,-23.1367302678504,-112.69482025599,18.9519282058904,-72.0983862142701,76.2352188489905,-2.76476906551978
"i-Rock",0.025,9,5000,1351.23383185756,-261.5236310305,-187.51668561037,-43.0456800391397,893.114843177315,431.98201396484,-20.7799608851947,-456.250263264871,-188.503742241975,-26.9469466293105,-106.942520637985,27.651780846055,-75.3744479729352,74.2795050042695,-14.0699273569352
"i-Rock",0.05,10,5000,1639.47759992989,-248.378671429772,-178.374234921869,-35.5508400679029,817.428306014305,422.440872792726,-30.6420189481011,-440.177189053811,-183.986111582843,-20.9090500419874,-98.7517598619908,6.73889451783281,-78.8674444057391,65.0477811473502,-2.85476731055879
"i-Rock",0.05,11,5000,1623.86036770693,-246.024071702949,-197.394385745225,-43.5805612540058,835.084579836048,441.01055373845,-34.8636845342032,-449.534472847247,-147.471614166537,-10.7426048693512,-85.9146910268691,9.59819248531501,-78.7582816378094,63.546949366244,-7.40192454311113
"i-Rock",0.05,12,5000,1647.73446951443,-260.391505496245,-181.874065841394,-38.6502332946758,813.878521013308,424.89918315069,-37.1754433333245,-459.13445986733,-184.58614864865,-21.7379905277393,-95.2499963472764,3.65079172042063,-74.6822916666702,58.4431112417948,-5.01386099845139
"i-Rock",0.05,13,5000,1619.72617083892,-242.618871635409,-198.375628392169,-42.0172390111587,837.16692045922,445.641558368325,-24.5750586151652,-457.835578407453,-185.068661172064,-5.96641609794139,-91.1697234830598,10.4172951557664,-79.2991241797817,62.0894513065855,0.0302064075701143
"i-Rock",0.05,14,5000,1632.98521746781,-262.875495558626,-201.939958210203,-41.5189484810143,825.674683296693,432.300685215906,-31.3845914592261,-451.82823755477,-176.030537082653,-24.4347703145461,-86.5162074756098,3.65950749350339,-69.2179712767875,64.4335125934597,-6.50509577857043
"i-Rock",0.05,15,5000,1630.2274751953,-242.473309057731,-202.486499145411,-38.6044476434005,828.324376187259,432.52937182842,-35.0303733251095,-447.81998064781,-174.397225315031,-24.3535993250602,-94.7950788373705,9.55003237822995,-76.3436073828003,64.5415619753995,-9.01026923246035
"i-Rock",0.05,16,5000,1605.81460587202,-250.66253928738,-197.802173509789,-44.5336049455653,861.40882644321,468.985589142769,-46.9139172198446,-446.02635906665,-187.236945828736,-8.99303809896486,-100.263606943331,6.98538010755556,-81.5952769819955,55.8699810427344,-3.39458470394538
"i-Rock",0.05,17,5000,1625.40834818776,-253.12347238502,-202.48649914541,-48.1399334890099,835.483883384439,444.40361987357,-38.28700946153,-444.10442152777,-187.58597834343,-38.9152915110301,-93.1519909779999,7.30551147710992,-70.7013459316199,62.20118178576,-2.54137583665986
"i-Rock",0.05,18,5000,1619.15704843363,-253.521321854699,-184.91137742982,-39.1946796392301,834.424759508471,437.62427342107,-39.8522486941,-436.62784104588,-148.61436626036,-20.0886930470198,-90.6956432748498,7.62203200247007,-72.4484802308799,69.5116054158598,2.72630136985988
"i-Rock",0.05,19,5000,1619.28059872603,-255.355667827557,-192.28306853037,-42.50156008627,842.767804052537,448.513006643643,-51.8504050772831,-453.720816571664,-178.086753331764,-18.894044998434,-99.4249308984703,6.4947372497265,-77.9616494467998,61.0450105793966,1.90969119482301
"i-Rock",0.05,1,5000,1615.82692307692,-248.386243614471,-198.27061541514,-31.9677514530932,842.684271778412,448.717330349451,-33.4174123743774,-445.187053532836,-148.706543639761,-35.228118912453,-94.137984548901,9.22487828534378,-79.710166108069,59.4990892614987,-6.35638986940267
"i-Rock",0.05,20,5000,1612.29092667726,-251.710016342578,-202.48649914541,-38.7172296258146,849.322063850481,455.101756180738,-37.3239475975726,-457.729371279386,-179.982426447737,-24.6708647292555,-99.2096158182213,4.26888478667266,-75.3003847329221,61.48042283022,-3.96181275320917
"i-Rock",0.05,2,5000,1636.99018232287,-252.632669833242,-200.482494931769,-40.3691430777985,814.855812606777,423.436597920035,-21.977265431711,-439.507140291612,-163.427847812496,-2.73031192195613,-91.3496588122422,9.79481066618287,-73.1917320228123,66.5394736270628,0.542458404643707
"i-Rock",0.05,3,5000,1619.40089824341,-249.97647304032,-200.58123791103,-41.5154681382701,834.186576179751,436.18994677928,-25.9792392596399,-445.785875842529,-146.05161196672,-3.33294655621014,-95.0719757961303,8.56573928400011,-75.82561229245,71.3027899815499,-1.24195261763017
"i-Rock",0.05,4,5000,1625.45466199562,-252.45330186964,-202.48649914541,-41.2784273818201,835.181654848271,438.89384022018,-31.62511255842,-447.316342761359,-162.5100363621,-24.4704009447502,-94.4684724037798,9.68824149031004,-80.9662004571596,62.4570965140701,2.85573119839984
"i-Rock",0.05,5,5000,1622.9273486254,-262.32888689189,-206.04634665522,-43.0782198014001,831.62772302785,440.87199754301,-33.4983956934201,-439.96992725505,-194.65887899979,-24.832743764,-99.5456016742703,11.5317932890099,-73.9673902455402,69.857035590351,-1.39096009622985
"i-Rock",0.05,6,5000,1616.79907284412,-245.542505845315,-176.926916221105,-36.5255024409851,838.03020031916,443.917619131065,-27.7852522037751,-445.554050569865,-153.076558903521,-34.5235704031348,-95.0960516002302,9.50489893390492,-77.0674110325702,66.8826897867946,-0.778134529640002
"i-Rock",0.05,7,5000,1623.82560433703,-247.448962226432,-194.357267009903,-41.2584318171732,837.770578770819,441.64341928283,-33.1804878664032,-451.576305891554,-186.38899569727,-9.04938551350076,-92.0111040262034,8.51646330547724,-80.5961168552169,61.4972302501071,-4.88042553190976
"i-Rock",0.05,8,5000,1630.50770009746,-264.382357523819,-180.756950876255,-39.3012938481277,820.687097967442,429.984982829375,-27.1564223665802,-452.041349009115,-181.822155756432,-22.3700641729805,-97.7388899051753,12.9744448145024,-74.0800864887203,67.744188739498,3.26291814981034
"i-Rock",0.05,9,5000,1618.85712037623,-252.11895695803,-199.718891070751,-47.2954013455999,842.755870151509,450.60249367491,-25.6552523189912,-453.042141860851,-224.98498252215,-35.7334593651487,-94.4684724037797,17.2624567935495,-74.5284175238598,61.4804228302201,-9.81387619601963
"i-Rock",0.5,10,5000,2816.44202180377,-198.50040378141,-204.718153020411,-52.7147144711951,317.23515458349,152.161247089655,-14.0324209303703,-273.683698648325,-218.399659107575,-65.1461288180098,-30.0615534015652,-6.95165268817512,-56.5408558756497,42.3251275279604,12.3515433617704
"i-Rock",0.5,11,5000,2809.24459015176,-196.999149427231,-213.106591957415,-54.5251513357949,323.55539646559,158.718675407625,-18.7410874422042,-279.249165329235,-198.70095210855,-56.2905449268048,-25.4963259807695,-4.31803019773523,-57.8274338358901,43.3562498891695,12.1054730704201
"i-Rock",0.5,12,5000,2816.52180616597,-198.976779931739,-212.624391987859,-51.2852192726321,318.862689038188,152.518292549828,-24.0965177575578,-272.142227992652,-213.55608859029,-59.7817308029302,-27.9818522062102,-7.11629692878426,-56.4585597211518,40.6178087110646,11.4161573200262
"i-Rock",0.5,13,5000,2807.58929489987,-196.110581295419,-216.615409853945,-54.1800773298347,324.021781306185,158.700163763501,-13.6299870718352,-276.415752659225,-218.708454123804,-56.1632417835299,-29.2788403409303,-4.13205173586986,-57.5270915564004,44.3912277091704,14.4176435429801
"i-Rock",0.5,14,5000,2815.97775990839,-201.01703913426,-216.79868400572,-54.3396852019804,318.728897815249,152.487849445859,-11.9970851525304,-273.62153983164,-211.523493585791,-53.1182340438607,-27.4649945106902,-7.67826062424044,-55.2187585451803,41.2956461915794,12.2420324391497
"i-Rock",0.5,15,5000,2809.14028170395,-196.89186040905,-220.168990351209,-53.753275862349,322.90288951227,157.139270867068,-15.0681224881888,-272.572460104459,-218.79552699912,-60.2760985293903,-27.9424242348791,-3.14303200487046,-56.8792053566,43.959132699001,12.4407870327803
"i-Rock",0.5,16,5000,2812.70186540232,-197.08177214404,-211.312151511251,-53.3234167244401,321.93372143331,156.13149597502,-18.3480339259399,-269.4012195564,-219.00836136082,-56.8316399772095,-30.3297643039897,-5.77219680065021,-58.0700199582997,41.3667170795902,12.5457409751704
"i-Rock",0.5,17,5000,2810.4352786207,-198.994471772207,-215.084702992847,-56.5055069383599,323.74389280195,158.406132640877,-20.075413606466,-274.34213920537,-217.647018871176,-58.620315983346,-30.7727612539933,-6.49162899224361,-54.2741501292034,43.465649146027,12.8461393684097
"i-Rock",0.5,18,5000,2809.41745554727,-198.76986749236,-209.45157360745,-52.9396630732305,321.19728883123,154.62005739691,-17.32202807231,-266.318016210419,-188.590784537,-56.58773012563,-28.2249224955503,-6.77613829777978,-53.87147353191,45.38755953672,14.6824186494003
"i-Rock",0.5,19,5000,2811.1631047075,-198.51263321533,-214.732734674169,-53.5041764450849,320.683620082665,154.732975570735,-19.9518637869999,-272.395529180616,-215.084455800884,-62.5282908762393,-29.2788403409305,-5.20283786647538,-55.6697571263702,44.1555791250501,14.7824954054853
"i-Rock",0.5,1,5000,2807.82976930673,-198.097606926976,-218.962831940483,-52.4234871083629,325.670276711263,159.139704786456,-20.7009780010202,-267.957000116423,-198.43847262533,-62.9008062308165,-29.5080250165804,-5.91522789871347,-56.6543525698201,42.50225789723,12.2370623528333
"i-Rock",0.5,20,5000,2810.15585648036,-197.237757423141,-216.945253417355,-53.9244797594852,325.246207476751,158.685554781216,-16.6364275684206,-278.450365050475,-206.567616296164,-65.5962097598794,-30.6120322318399,-5.51435556035535,-58.0780698425395,40.7468093697405,10.6266557919157
"i-Rock",0.5,2,5000,2818.38279620221,-196.72842911342,-214.02354550772,-53.3759448533196,311.13322456573,146.57776321444,-11.6602010656497,-263.72677425191,-202.85094556872,-48.6964366391303,-27.5650932258499,-6.03566402508016,-56.5184403666897,44.9007948443402,16.5126989810901
"i-Rock",0.5,3,5000,2807.8623673713,-196.083577980893,-215.31842375714,-53.66190100731,323.088951059907,155.851007658773,-15.6487838041201,-271.33478662325,-196.748160494944,-51.0151422714099,-29.6840713991201,-4.36180952532718,-57.9537380299535,45.8385330468966,15.0774013178265
"i-Rock",0.5,4,5000,2806.51370350121,-197.096595178016,-214.609475433383,-51.9475377823998,327.789669181604,160.462117218357,-16.74370142726,-269.129581084972,-209.024207844416,-63.1449862144961,-28.8682391871464,-4.32092904659972,-58.9563205453268,41.6989312324037,12.4624355238767
"i-Rock",0.5,5,5000,2815.53870041524,-201.4611249155,-219.12675511318,-54.29542427676,318.43799197129,153.30271084634,-20.1077306452306,-267.708483633551,-209.654326754989,-60.8882773519295,-29.9713092520599,-5.67694262563031,-58.4188063179297,42.4888957641703,12.2905353388506
"i-Rock",0.5,6,5000,2810.53955658025,-197.377839527619,-212.609287157839,-52.5487712581496,324.192909035629,157.38578554995,-20.3313262372094,-272.16592655135,-202.64259288213,-66.5292561918591,-31.0106961544107,-7.03683100873046,-57.4849364570507,42.7725094371702,11.8213191496197
"i-Rock",0.5,7,5000,2812.3735382961,-196.123222308958,-216.98559438696,-53.2651673552726,321.771417582023,155.437616043987,-17.0787767184761,-276.013498097636,-212.970674273604,-61.2505049421747,-28.9427260260666,-5.12828367555783,-58.2815514950585,42.8182218569476,12.433832739604
"i-Rock",0.5,8,5000,2812.40269886091,-201.624501603432,-213.536926526483,-54.4184060281685,319.968794861348,156.249438517836,-21.0008704675325,-271.646601299929,-224.5543277582,-61.5925218536957,-30.593863023138,-5.76139557310562,-57.8887959597059,44.2379866795323,16.0616978499676
"i-Rock",0.5,9,5000,2812.63428694662,-199.319986454627,-217.848891125897,-53.9499764054901,321.35834601037,156.528618018467,-22.0783310348062,-277.107930313357,-216.363124760266,-63.983216132243,-28.7442565131966,-3.40719541874354,-58.1292285739169,43.05987807841,11.6852600924201
